term,coefficient,p_value,n_after_exclusion
LOG_NET_PRICE,0.0022083316097730172,0.803135870873823,1550
PCTPELL,-0.43782044877769305,3.3317990423943467e-56,1550
PCTFLOAN,0.03599008541958707,0.07915567999607458,1550
