variable,C150_4_POOLED_SUPP,NET_PRICE,PCTPELL,PCTFLOAN,ADM_RATE_SUPP,UGDS,INEXPFTE,AVGFACSAL,STUFACR
C150_4_POOLED_SUPP,1.0,0.40249384823742684,-0.5938588123019665,-0.15416415670545805,-0.4638168499840495,0.19641820571809115,0.4829541099347479,0.589447763701243,-0.196505243091479
NET_PRICE,0.40249384823742684,1.0,-0.3861256489510772,0.2590073707684576,-0.22482807817777864,-0.10364877058996944,0.16038179977651984,0.16795581717173858,-0.26404288956651073
PCTPELL,-0.5938588123019665,-0.3861256489510772,1.0,0.3109394212864371,0.25631317754205946,-0.09316274286642762,-0.2998947136059437,-0.39940892947537526,0.15454282755374957
PCTFLOAN,-0.15416415670545805,0.2590073707684576,0.3109394212864371,1.0,0.26872346282851095,-0.18619077919219676,-0.26852669881199115,-0.25414805044446626,-0.056335468120305696
ADM_RATE_SUPP,-0.4638168499840495,-0.22482807817777864,0.25631317754205946,0.26872346282851095,1.0,-0.045466169230266404,-0.5294716834826219,-0.4118129704160116,0.27958796899110483
UGDS,0.19641820571809115,-0.10364877058996944,-0.09316274286642762,-0.18619077919219676,-0.045466169230266404,1.0,0.038270347360462385,0.36378452871450545,0.4228762196454441
INEXPFTE,0.4829541099347479,0.16038179977651984,-0.2998947136059437,-0.26852669881199115,-0.5294716834826219,0.038270347360462385,1.0,0.5714857668735125,-0.314645662458343
AVGFACSAL,0.589447763701243,0.16795581717173858,-0.39940892947537526,-0.25414805044446626,-0.4118129704160116,0.36378452871450545,0.5714857668735125,1.0,-0.02032046045560321
STUFACR,-0.196505243091479,-0.26404288956651073,0.15454282755374957,-0.056335468120305696,0.27958796899110483,0.4228762196454441,-0.314645662458343,-0.02032046045560321,1.0
