source_variable,raw_skewness,transformed_variable,transformed_skewness
NET_PRICE,0.9210077405413727,LOG_NET_PRICE,-0.8142020854086578
UGDS,6.692544581059224,LOG_UGDS,-0.1956190726152642
INEXPFTE,5.854829480145354,LOG_INEXPFTE,-2.658762756591704
AVGFACSAL,1.1628670575276618,LOG_AVGFACSAL,-0.6579127029008552
