analysis,train_n,test_n,MAE,RMSE,R2,observed_predicted_r,observed_predicted_r_p_value
Complete predictor cases,1138,287,0.062408823693379814,0.0868479779108909,0.7375828331662029,0.8621916071460918,3.658193947201132e-86
Training-derived 1st/99th percentile clipping,1335,334,0.06688389820359286,0.09123953260015426,0.7680331926787685,0.8771856836805988,8.224275222667901e-108
Alternative outcome C150_4,1332,334,0.07131151257485029,0.09432594078466228,0.7557300979159213,0.8699180112949371,6.0777710289233e-104
