group_variable,group,n,MAE,RMSE,R2,mean_residual_observed_minus_predicted,interval_coverage,reported
CONTROL_LABEL,Private for-profit,15,,,,,,False
CONTROL_LABEL,Private nonprofit,209,0.06638601148325365,0.09259947533420868,0.7520854115349995,0.011972656459330157,0.9760765550239234,True
CONTROL_LABEL,Public,110,0.06238815636363635,0.07947778626138824,0.7905865339638888,-0.005276832727272676,1.0,True
LOCALE4,City,158,0.07037478734177217,0.09007994811045228,0.7830810965739007,0.005680979746835498,0.9810126582278481,True
LOCALE4,Rural,35,0.08292116571428572,0.11938252507305372,0.5471173298248586,-0.0015499657142855974,0.9428571428571428,True
LOCALE4,Suburb,79,0.061874840506329236,0.0905927047218833,0.7955937539654638,0.010825605063291052,0.9746835443037974,True
LOCALE4,Town,62,0.05701368387096773,0.07570445332441408,0.7529671129004086,0.00584463870967748,1.0,True
