mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate
0.014569234848022462,0.0016258070581022406,0.00501103401184082,0.0005392329063590637,0.0003,0.1,"{'model__alpha': 0.0003, 'model__l1_ratio': 0.1}",-0.11979047287133418,-0.13004785598927138,-0.11288293863241831,-0.13025565616937537,-0.10272721437129191,-0.11914082760673823,0.010502310173878348,2,Elastic net,,,,
0.01208806037902832,0.0012364984417743152,0.004783535003662109,0.0002954367976475694,0.0003,0.5,"{'model__alpha': 0.0003, 'model__l1_ratio': 0.5}",-0.11970618231756247,-0.1299690041626381,-0.1128038110634382,-0.13045424501993827,-0.10290711798939986,-0.1191680721105954,0.010480933568487675,3,Elastic net,,,,
0.012206602096557616,0.0006625208731727496,0.004536867141723633,0.0004764750774873138,0.0003,0.9,"{'model__alpha': 0.0003, 'model__l1_ratio': 0.9}",-0.11966343905908683,-0.12994507566797833,-0.11290500690485611,-0.13077764889756308,-0.10329313212083777,-0.11931686053006443,0.01041441772489378,4,Elastic net,,,,
0.014449214935302735,0.0015692412006403328,0.006003570556640625,0.0022754769432953427,0.001,0.1,"{'model__alpha': 0.001, 'model__l1_ratio': 0.1}",-0.11966785130129626,-0.1300325496677014,-0.11278043799150306,-0.1302792038597889,-0.10291278430104282,-0.11913456542426648,0.01045728969185506,1,Elastic net,,,,
0.01247401237487793,0.001525920542506549,0.004602193832397461,0.0003229213619153203,0.001,0.5,"{'model__alpha': 0.001, 'model__l1_ratio': 0.5}",-0.11970928722380189,-0.12995251087006984,-0.11295790314235714,-0.13108052076406196,-0.10388228130886432,-0.11951650066183103,0.010296776707774818,6,Elastic net,,,,
0.011623239517211914,0.0004760609651288748,0.004463291168212891,0.0004584178769849312,0.001,0.9,"{'model__alpha': 0.001, 'model__l1_ratio': 0.9}",-0.12020163821602886,-0.12978230622066747,-0.11263681308913885,-0.13162590807064775,-0.10439464874938433,-0.11972826286917344,0.010278815254981921,8,Elastic net,,,,
0.013842391967773437,0.0025880401594554326,0.004940223693847656,0.0007199109285338727,0.003,0.1,"{'model__alpha': 0.003, 'model__l1_ratio': 0.1}",-0.1196334116687813,-0.1299401023943902,-0.11283605144575243,-0.13065560731710377,-0.1035697124149202,-0.11932697704818958,0.010310128025004129,5,Elastic net,,,,
0.012575292587280273,0.0004747454925201398,0.0055045604705810545,0.0008725588083992409,0.003,0.5,"{'model__alpha': 0.003, 'model__l1_ratio': 0.5}",-0.12070331110500547,-0.12960622697120947,-0.1122327152799491,-0.13229257173090408,-0.1048074341204376,-0.11992845184150114,0.010344087558837613,9,Elastic net,,,,
0.01317129135131836,0.0016137077329110897,0.005243682861328125,0.0009725152303319357,0.003,0.9,"{'model__alpha': 0.003, 'model__l1_ratio': 0.9}",-0.12210014551795445,-0.1307623410184895,-0.11155672335303157,-0.13334896674275556,-0.10591528003132065,-0.12073669133271034,0.010633797017330585,10,Elastic net,,,,
0.012382984161376953,0.0009493100800930754,0.004881906509399414,0.0002028892182521482,0.01,0.1,"{'model__alpha': 0.01, 'model__l1_ratio': 0.1}",-0.12041671529111661,-0.12966354970729665,-0.11223956521618716,-0.13156084096846857,-0.10446332013103864,-0.11966879826282154,0.010278863603612184,7,Elastic net,,,,
