fold,full_MAE,reduced_MAE,full_RMSE,reduced_RMSE,full_R2,reduced_R2,MAE_difference_reduced_minus_full,RMSE_difference_reduced_minus_full
1,0.08273914157303368,0.08481899850187266,0.11000340554172365,0.1158368480467662,0.671723097316694,0.6359831143831338,0.002079856928838983,0.005833442505042544
2,0.08631299325842694,0.09592307116104877,0.11770727017154783,0.1274424145864628,0.6308576545912612,0.5672717243639114,0.009610077902621833,0.009735144414914965
3,0.07058764494382022,0.08034464344569275,0.09451914724361211,0.10999310180438022,0.7427740384741952,0.6516577854851449,0.009756998501872532,0.01547395456076811
4,0.08992141123595505,0.0957328486891387,0.12200923514505507,0.1257726866085128,0.611210065339027,0.5868552107983149,0.005811437453183646,0.0037634514634577176
5,0.06724765992509363,0.07851325168539333,0.09157749063977648,0.10637481079342416,0.7619071908830164,0.6787475842105125,0.011265591760299704,0.01479732015364768
