factor,comparison,difference,std_error_hc3,t,p_unadjusted,p_holm,reject_holm_05,simultaneous_ci_lower,simultaneous_ci_upper
CONTROL_LABEL,Private for-profit - Private nonprofit,-0.027361081099125367,0.02301232198763314,-1.1889752417782637,0.23462121942001024,0.23462121942001024,False,-0.08250859521917932,0.027786433020928588
CONTROL_LABEL,Private for-profit - Public,0.06239998728341035,0.024370157350788464,2.560508181593316,0.010540625846763579,0.021081251693527158,True,0.003998510138566537,0.12080146442825415
CONTROL_LABEL,Private nonprofit - Public,0.08976106838253571,0.010335548588096733,8.684693184637721,8.995139195528194e-18,2.698541758658458e-17,True,0.06499260685975342,0.114529529905318
LOCALE4,City - Rural,0.023734412887755796,0.012234718025294187,1.9399231628131532,0.05255996493458098,0.3153597896074859,False,-0.008583062845152208,0.0560518886206638
LOCALE4,City - Suburb,0.0007121844315446172,0.008051349783717984,0.08845528398043861,0.9295256031873357,0.9295256031873357,False,-0.020555105972249015,0.02197947483533825
LOCALE4,City - Town,0.008235179806064996,0.006996507839954676,1.177041460460701,0.2393494439454913,0.8430833412280508,False,-0.010245791464819602,0.026716151076949593
LOCALE4,Rural - Suburb,-0.02302222845621118,0.013782973739113509,-1.6703382660360433,0.09504292509322787,0.47521462546613935,False,-0.05942935434339717,0.013384897430974811
LOCALE4,Rural - Town,-0.0154992330816908,0.012380197214799353,-1.251937494433686,0.2107708353070127,0.8430833412280508,False,-0.04820098576865335,0.01720251960527175
LOCALE4,Suburb - Town,0.007522995374520379,0.008928602926783949,0.84257250951915,0.3995902051112563,0.8430833412280508,False,-0.016061521066198604,0.03110751181523936
