model,mean_CV_MAE,sd_CV_MAE,mean_CV_RMSE,sd_CV_RMSE,mean_CV_R2,sd_CV_R2
Random forest,0.0793617701872659,0.009936914762280894,0.10716330974834302,0.013623833428384139,0.6836944093208388,0.06670205556150194
Gradient boosting,0.0798077794577238,0.010115548344972636,0.1082166359216405,0.015368097754779892,0.6766791731927311,0.07708267853302961
Elastic net,0.08717019534432821,0.006512490067909205,0.11913456542426648,0.011691605305697869,0.6101652592093727,0.061327125856889084
OLS,0.08716954498917885,0.006564689001756583,0.11919600319752174,0.011783775727477862,0.6097230642040163,0.061944416096550645
