factor,level,adjusted_mean,std_error_hc3,ci_lower,ci_upper
CONTROL_LABEL,Private for-profit,0.5562987096839045,0.021894032744294672,0.5133555590827068,0.5992418602851022
CONTROL_LABEL,Private nonprofit,0.5836597907830299,0.004678347254471071,0.5744836388579898,0.5928359427080699
CONTROL_LABEL,Public,0.4938987224004942,0.00752947259551281,0.4791303478669832,0.5086670969340052
LOCALE4,City,0.5563984385639519,0.0043262402588639115,0.5479129124325557,0.5648839646953481
LOCALE4,Rural,0.5326640256761961,0.011291378324020083,0.5105170157796365,0.5548110355727557
LOCALE4,Suburb,0.5556862541324072,0.006635884737847589,0.5426705707725732,0.5687019374922413
LOCALE4,Town,0.548163258757887,0.005589431947221376,0.5372000972111765,0.5591264203045975
